"book","chapter","verse","part of speech","parsing code","text (including punctuation)","word (with punctuation stripped)","normalized word","lemma"
"49","01","11","P","","κατὰ","κατὰ","κατά","κατά"
"49","01","11","RA","ASF","τὴν","τὴν","τήν","ὁ"
"49","01","11","N","ASF","βουλὴν","βουλὴν","βουλήν","βουλή"
"49","01","11","RA","GSN","τοῦ","τοῦ","τοῦ","ὁ"
"49","01","11","N","GSN","θελήματος","θελήματος","θελήματος","θέλημα"
"49","01","11","RP","GSM","αὐτοῦ,","αὐτοῦ","αὐτοῦ","αὐτός"
"49","01","12","P","","εἰς","εἰς","εἰς","εἰς"
"49","01","12","RA","ASN","τὸ","τὸ","τό","ὁ"
"49","01","12","V","PAN","εἶναι","εἶναι","εἶναι","εἰμί"
"49","01","12","RP","AP","ἡμᾶς","ἡμᾶς","ἡμᾶς","ἐγώ"
"49","01","12","P","","εἰς","εἰς","εἰς","εἰς"
"49","01","12","N","ASM","ἔπαινον","ἔπαινον","ἔπαινον","ἔπαινος"
"49","01","12","N","GSF","δόξης","δόξης","δόξης","δόξα"
"49","01","12","RP","GSM","αὐτοῦ","αὐτοῦ","αὐτοῦ","αὐτός"
"49","01","12","RA","APM","τοὺς","τοὺς","τούς","ὁ"
"49","01","12","V","XAPAPM","προηλπικότας","προηλπικότας","προηλπικότας","προελπίζω"
"49","01","12","P","","ἐν","ἐν","ἐν","ἐν"
"49","01","12","RA","DSM","τῷ","τῷ","τῷ","ὁ"
"49","01","12","N","DSM","Χριστῷ·","Χριστῷ","Χριστῷ","Χριστός"
"49","01","13","P","","ἐν","ἐν","ἐν","ἐν"
"49","01","13","RR","DSM","ᾧ","ᾧ","ᾧ","ὅς"
"49","01","13","D","","καὶ","καὶ","καί","καί"
"49","01","13","RP","NP","ὑμεῖς","ὑμεῖς","ὑμεῖς","σύ"
"49","01","13","V","AAPNPM","ἀκούσαντες","ἀκούσαντες","ἀκούσαντες","ἀκούω"
"49","01","13","RA","ASM","τὸν","τὸν","τόν","ὁ"
"49","01","13","N","ASM","λόγον","λόγον","λόγον","λόγος"
"49","01","13","RA","GSF","τῆς","τῆς","τῆς","ὁ"
"49","01","13","N","GSF","ἀληθείας,","ἀληθείας","ἀληθείας","ἀλήθεια"
"49","01","13","RA","ASN","τὸ","τὸ","τό","ὁ"
"49","01","13","N","ASN","εὐαγγέλιον","εὐαγγέλιον","εὐαγγέλιον","εὐαγγέλιον"
"49","01","13","RA","GSF","τῆς","τῆς","τῆς","ὁ"
"49","01","13","N","GSF","σωτηρίας","σωτηρίας","σωτηρίας","σωτηρία"
"49","01","13","RP","GP","ὑμῶν,","ὑμῶν","ὑμῶν","σύ"
"49","01","13","P","","ἐν","ἐν","ἐν","ἐν"
"49","01","13","RR","DSM","ᾧ","ᾧ","ᾧ","ὅς"
"49","01","13","D","","καὶ","καὶ","καί","καί"
"49","01","13","V","AAPNPM","πιστεύσαντες","πιστεύσαντες","πιστεύσαντες","πιστεύω"
"49","01","13","V","2API-P","ἐσφραγίσθητε","ἐσφραγίσθητε","ἐσφραγίσθητε","σφραγίζω"
"49","01","13","RA","DSN","τῷ","τῷ","τῷ","ὁ"
"49","01","13","N","DSN","πνεύματι","πνεύματι","πνεύματι","πνεῦμα"
"49","01","13","RA","GSF","τῆς","τῆς","τῆς","ὁ"
"49","01","13","N","GSF","ἐπαγγελίας","ἐπαγγελίας","ἐπαγγελίας","ἐπαγγελία"
"49","01","13","RA","DSN","τῷ","τῷ","τῷ","ὁ"
"49","01","13","A","DSN","ἁγίῳ,","ἁγίῳ","ἁγίῳ","ἅγιος"
"49","01","14","RR","NSN","⸀ὅ","ὅ","ὅ","ὅς"
"49","01","14","V","3PAI-S","ἐστιν","ἐστιν","ἐστί(ν)","εἰμί"
"49","01","14","N","NSM","ἀρραβὼν","ἀρραβὼν","ἀρραβών","ἀρραβών"
"49","01","14","RA","GSF","τῆς","τῆς","τῆς","ὁ"
"49","01","14","N","GSF","κληρονομίας","κληρονομίας","κληρονομίας","κληρονομία"
"49","01","14","RP","GP","ἡμῶν,","ἡμῶν","ἡμῶν","ἐγώ"
"49","01","14","P","","εἰς","εἰς","εἰς","εἰς"
"49","01","14","N","ASF","ἀπολύτρωσιν","ἀπολύτρωσιν","ἀπολύτρωσιν","ἀπολύτρωσις"
"49","01","14","RA","GSF","τῆς","τῆς","τῆς","ὁ"
"49","01","14","N","GSF","περιποιήσεως,","περιποιήσεως","περιποιήσεως","περιποίησις"
"49","01","14","P","","εἰς","εἰς","εἰς","εἰς"
"49","01","14","N","ASM","ἔπαινον","ἔπαινον","ἔπαινον","ἔπαινος"
"49","01","14","RA","GSF","τῆς","τῆς","τῆς","ὁ"
"49","01","14","N","GSF","δόξης","δόξης","δόξης","δόξα"
"49","01","14","RP","GSM","αὐτοῦ.","αὐτοῦ","αὐτοῦ","αὐτός"
"49","01","15","P","","Διὰ","Διὰ","διά","διά"
"49","01","15","RD","ASN","τοῦτο","τοῦτο","τοῦτο","οὗτος"
"49","01","15","RP","NS","κἀγώ,","κἀγώ","κἀγώ","κἀγώ"
"49","01","15","V","AAPNSM","ἀκούσας","ἀκούσας","ἀκούσας","ἀκούω"
"49","01","15","RA","ASF","τὴν","τὴν","τήν","ὁ"
"49","01","15","P","","καθ’","καθ’","κατά","κατά"
"49","01","15","RP","AP","ὑμᾶς","ὑμᾶς","ὑμᾶς","σύ"
"49","01","15","N","ASF","πίστιν","πίστιν","πίστιν","πίστις"
"49","01","15","P","","ἐν","ἐν","ἐν","ἐν"
